host,ABC.ABCclus,ABCbinary,D.Dclus,Dbinary,E.Eclus,Ebinary,binaryAll,pastClusAll,mult,dapc1.tab..PCA.pc.1.,dapc1.tab..PCA.pc.2.
D019,2,Res,3,Sus,1,Both,Res/Sus/Both,2,Single,51.7790081777532,11.6645058031388
D038,2,Res,1,Sus,2,Res,Res/Sus/Res,1,Single,-23.9473833342933,6.89811890757194
D053,1,Res,1,Sus,1,Both,Res/Sus/Both,4,Single,6.11157920496753,-56.1093342658497
D092,3,Sus,1,Sus,2,Res,Sus/Sus/Res,2,Single,52.5094954127589,11.9159159695873
D096,2,Res,1,Sus,2,Res,Res/Sus/Res,1,Single,-22.2742891870455,9.27359595437196
D160,3,Sus,3,Sus,1,Both,Sus/Sus/Both,1,Single,-20.1592478562122,9.74032039566576
D179,1,Res,1,Sus,1,Both,Res/Sus/Both,2,Single,52.4337177066381,11.8508554318999
D205,3,Sus,3,Sus,1,Both,Sus/Sus/Both,4,Single,10.3941470768844,-54.8649781624587
D232,3,Sus,3,Sus,1,Both,Sus/Sus/Both,2,Single,52.6710471724714,12.1967034035601
D244,3,Sus,1,Sus,1,Both,Sus/Sus/Both,2,Single,52.3618470908544,11.6905214377011
D259,2,Res,1,Sus,2,Res,Res/Sus/Res,2,Single,52.2775648985262,11.7568522715927
D300,3,Sus,1,Sus,2,Res,Sus/Sus/Res,2,Single,52.8381764464854,11.9702664300921
D327,2,Res,1,Sus,1,Both,Res/Sus/Both,2,Single,52.9011175238376,12.1781638819101
D441,1,Res,1,Sus,1,Both,Res/Sus/Both,4,Single,6.04780389891156,-56.0401757187273
D716,1,Res,1,Sus,1,Both,Res/Sus/Both,2,Single,52.8207958598579,12.415793707618
D727,1,Res,2,Both,1,Both,Res/Both/Both,4,Multiple,-7.08765864340137,-24.2411533745385
D774,2,Res,3,Sus,1,Both,Res/Sus/Both,4,Single,4.97971972518301,-55.550379163035
D778,2,Res,1,Sus,2,Res,Res/Sus/Res,1,Single,-18.8611454263948,6.82332866490754
D792,2,Res,1,Sus,2,Res,Res/Sus/Res,1,Single,-25.0166663238317,7.63947685005502
D795,1,Res,1,Sus,3,Res,Res/Sus/Res,1,Single,-25.4386807376945,7.99169993966529
D801,3,Sus,1,Sus,1,Both,Sus/Sus/Both,4,Single,5.99887934206654,-56.1381137158766
D804,1,Res,1,Sus,1,Both,Res/Sus/Both,4,Single,6.17001291054069,-56.1232938390439
D805,2,Res,1,Sus,1,Both,Res/Sus/Both,4,Single,5.96004290946611,-56.1289751538717
D807,3,Sus,1,Sus,2,Res,Sus/Sus/Res,3,Multiple,23.1922301591808,9.0811984926821
