INDV,O(HOM),E(HOM),N_SITES,F,N(polymorphic,missingness
D019,10165,7888.4,10167,0.99912,0.00,0.000589797
D038,9135,7137.3,9308,0.9203,0.02,0.085028998
D053,9072,7183.3,9343,0.87452,0.03,0.081588519
D092,10145,7881.8,10160,0.99342,0.00,0.001277892
D096,9155,7121.7,9281,0.94165,0.01,0.087683083
D160,9206,7159.3,9327,0.94418,0.01,0.083161309
D179,10156,7886.3,10165,0.99605,0.00,0.000786395
D205,9253,7328.2,9515,0.88019,0.03,0.064681018
D232,10170,7891,10170,1,0.00,0.000294898
D244,10159,7885,10164,0.99781,0.00,0.000884695
D259,10149,7883.1,10162,0.9943,0.00,0.001081294
D300,10138,7880.1,10159,0.99079,0.00,0.001376192
D327,10151,7885,10164,0.9943,0.00,0.000884695
D441,8921,7104.8,9244,0.84901,0.03,0.091320161
D716,10168,7891.6,10171,0.99868,0.00,0.000196599
D727,6006,7324.9,9531,-0.59782,0.37,0.063108228
D774,9128,7150.5,9322,0.91066,0.02,0.083652806
D778,9226,7188.7,9351,0.94219,0.01,0.080802123
D792,9134,7139.3,9270,0.93617,0.01,0.088764376
D795,9127,7141.5,9306,0.9173,0.02,0.085225597
D801,8935,7119.5,9271,0.84383,0.04,0.088666077
D803,8425,7189.2,9373,0.56589,0.10,0.078639536
D804,8968,7131.8,9286,0.85238,0.03,0.087191586
D805,8947,7105.6,9251,0.8583,0.03,0.090632065
D807,7570,7886,10162,-0.13884,0.26,0.001081294
D808,9059,7205.1,9363,0.85912,0.03,0.07962253
D809,9031,7169.6,9322,0.8648,0.03,0.083652806
D810,9219,7292.7,9467,0.88594,0.03,0.069399391
D811,9845,7856,10131,0.87429,0.03,0.004128576
D812,10170,7892.6,10172,0.99912,0.00,9.82994E-05
D813,10152,7889.3,10169,0.99254,0.00,0.000393198
D814,9146,7289.5,9462,0.85455,0.03,0.069890888
D815,9218,7188.2,9367,0.93161,0.02,0.079229333
E203,9206,7224,9377,0.92057,0.02,0.078246338
E204,9272,7417.9,9631,0.83778,0.04,0.053278286
E206,10163,7888.9,10168,0.99781,0.00,0.000491497
E211,10152,7883.6,10162,0.99561,0.00,0.001081294
E213,9258,7258.4,9456,0.9099,0.02,0.070480684
E216,9024,7130.8,9295,0.87478,0.03,0.086306891
E219,9000,7156.8,9301,0.85962,0.03,0.085717094
E221,10166,7886.9,10166,1,0.00,0.000688096
E222,9069,7131.4,9276,0.90348,0.02,0.08817458
E223,9143,7095.6,9244,0.95299,0.01,0.091320161
E229,6597,7622.1,9804,-0.4698,0.33,0.036272486
E232,8843,7171.4,9334,0.77296,0.05,0.082473213
E234,9282,7257,9439,0.92805,0.02,0.072151774
E235,5010,7711.6,9951,-1.20635,0.50,0.021822471
E236,8496,7167.6,9349,0.60897,0.09,0.080998722
E238,9180,7177.9,9347,0.92301,0.02,0.081195321
E240,9168,7221.3,9391,0.89722,0.02,0.076870146
E243,9196,7278.7,9467,0.87616,0.03,0.069399391
E245,9033,7193.7,9337,0.85816,0.03,0.082178315
E246,8132,7197.9,9338,0.43648,0.13,0.082080016
E247,9068,7142.6,9274,0.90335,0.02,0.088371179
E248,8594,7187.8,9365,0.64588,0.08,0.079425931
E249,8223,7109.6,9220,0.52757,0.11,0.093679347
E251,8419,7080.8,9153,0.64578,0.08,0.100265408
E253,8876,7175.5,9364,0.77702,0.05,0.079524231
E255,6132,7672,9871,-0.7003,0.38,0.029686425
E257,7939,7153.1,9294,0.36709,0.15,0.08640519
E258,9148,7148,9307,0.92636,0.02,0.085127298
E261,9113,7157.5,9319,0.9047,0.02,0.083947705
F005,6507,6158.7,8106,0.17888,0.20,0.203184901
F008,9151,7145.3,9313,0.92527,0.02,0.084537501
F009,9045,7082.9,9239,0.91002,0.02,0.091811658
F011,9213,7312.6,9505,0.86681,0.03,0.065664013
F012,10149,7882.3,10161,0.99473,0.00,0.001179593
F013,9157,7140.4,9297,0.93508,0.02,0.086110292
F014,8994,7084.6,9216,0.89584,0.02,0.094072545
F020,9180,7259.1,9433,0.88362,0.03,0.072741571
F021,9129,7152.7,9310,0.9161,0.02,0.084832399
F022,9230,7186.3,9363,0.9389,0.01,0.07962253
F026,8236,7245.6,9424,0.45465,0.13,0.073626266
F030,10118,7887.9,10167,0.9785,0.00,0.000589797
G002,8161,7264.8,9453,0.40957,0.14,0.070775582
G006,9179,7178.3,9357,0.9183,0.02,0.080212327
G011,9175,7177.2,9354,0.91777,0.02,0.080507225
G015,10131,7883,10162,0.9864,0.00,0.001081294
G016,8786,6925.7,8889,0.94754,0.01,0.126216455
G018,8721,7485.9,9665,0.56679,0.10,0.049936105
G021,6882,7892.4,10172,-0.44326,0.32,9.82994E-05
G034,9338,7376.2,9535,0.90875,0.02,0.06271503
G038,9094,7145.2,9318,0.89691,0.02,0.084046004
G039,8527,7244.2,9400,0.59504,0.09,0.075985452
G041,8168,7214.7,9389,0.43844,0.13,0.077066745
G052,10144,7868.5,10145,0.99956,0.00,0.002752384
G058,10164,7886,10165,0.99956,0.00,0.000786395
G059,8182,7212.4,9368,0.44981,0.13,0.079131033
G060,8990,7023.2,9146,0.92651,0.02,0.100953504
G066,8480,7164.7,9345,0.60326,0.09,0.08139192
G070,10155,7880.4,10159,0.99824,0.00,0.001376192
G072,9186,7150,9326,0.93566,0.02,0.083259609
G073,8742,7174.9,9350,0.72047,0.07,0.080900423
G075,8402,7091.6,9222,0.61509,0.09,0.093482748
G087,7850,7228.3,9403,0.28586,0.17,0.075690553
G089,10165,7891,10170,0.99781,0.00,0.000294898
G094,6378,7799,10042,-0.6335,0.36,0.012877224
G095,9130,7139.2,9308,0.91793,0.02,0.085028998
G099,5939,7452.8,9658,-0.68645,0.39,0.050624201
G106,5655,7276.4,9468,-0.7398,0.40,0.069301091
G109,10173,7893.2,10173,1,0.00,0
G112,9102,7138.4,9243,0.933,0.02,0.091150442
G118,8955,7034.3,9067,0.9449,0.01,0.108456244
G119,6433,7671.2,9890,-0.55807,0.35,0.027531957
G121,8113,7198.6,9339,0.4272,0.13,0.081710914
G123,8256,7181.6,9327,0.5008,0.11,0.082890855
G125,9165,7199.8,9368,0.90638,0.02,0.07885939
G126,6566,7743.9,9959,-0.53176,0.34,0.020747296
G127,8438,7537.9,9738,0.40913,0.13,0.042477876
G129,8910,7178.1,9365,0.79194,0.05,0.079154376
G131,9156,7146.4,9314,0.92711,0.02,0.084169125
G132,8614,7890,10169,0.31768,0.15,9.83284E-05
G139,10149,7880.3,10159,0.99561,0.00,0.001081613
G143,9140,7154.9,9332,0.91181,0.02,0.082399213
G144,9115,7130.1,9269,0.928,0.02,0.088593904
G145,9131,7112,9259,0.94038,0.01,0.089577188
G147,8831,7159,9324,0.77229,0.05,0.083185841
G149,9192,7171.1,9331,0.93564,0.01,0.082497542
G154,6662,7683.7,9904,-0.46013,0.33,0.026155359
G156,8962,7214.5,9366,0.81222,0.04,0.079056047
G157,9129,7160.2,9328,0.9082,0.02,0.082792527
G158,8575,7119.3,9211,0.69595,0.07,0.094296952
G161,8569,7166.7,9335,0.64673,0.08,0.082104228
G162,8818,6934.1,8915,0.95103,0.01,0.123402163
G166,9151,7208.7,9353,0.9058,0.02,0.080334317
G167,10156,7889,10168,0.99473,0.00,0.000196657
G176,9137,7149.2,9297,0.9255,0.02,0.085840708
G177,9717,7882.8,10158,0.80617,0.04,0.001179941
G180,8542,7196.6,9362,0.62131,0.09,0.079449361
G181,10158,7891,10170,0.99473,0.00,0
G187,9075,7187.6,9355,0.87082,0.03,0.08013766
G188,8877,7178.8,9324,0.79163,0.05,0.083185841
G198,9153,7147.9,9318,0.92397,0.02,0.083775811
G203,9125,7113.4,9253,0.94018,0.01,0.090167158
